,age,1.23,1.03,1.48,1.23_log,1.03_log,1.48_log,se
0,45,1.498,1.065,2.04,0.404,0.063,0.713,0.169
1,46,1.499,1.065,2.042,0.405,0.063,0.714,0.169
2,47,1.5,1.065,2.044,0.406,0.063,0.715,0.17
3,48,1.501,1.065,2.046,0.406,0.063,0.716,0.17
4,49,1.502,1.066,2.048,0.407,0.063,0.717,0.17
5,50,1.504,1.066,2.052,0.408,0.064,0.719,0.171
6,51,1.507,1.066,2.057,0.41,0.064,0.721,0.171
7,52,1.51,1.067,2.065,0.412,0.064,0.725,0.172
8,53,1.515,1.067,2.074,0.415,0.065,0.73,0.173
9,54,1.521,1.068,2.087,0.419,0.066,0.736,0.174
10,55,1.528,1.069,2.103,0.424,0.067,0.743,0.176
11,56,1.538,1.07,2.122,0.43,0.068,0.753,0.178
12,57,1.55,1.072,2.147,0.438,0.069,0.764,0.181
13,58,1.565,1.074,2.179,0.448,0.071,0.779,0.184
14,59,1.583,1.076,2.218,0.46,0.073,0.796,0.188
15,60,1.607,1.079,2.267,0.474,0.076,0.818,0.193
16,61,1.637,1.083,2.33,0.493,0.08,0.846,0.199
17,62,1.676,1.088,2.411,0.516,0.084,0.88,0.207
18,63,1.727,1.095,2.518,0.547,0.091,0.923,0.217
19,64,1.797,1.104,2.664,0.586,0.099,0.98,0.229
20,65,1.897,1.117,2.872,0.64,0.111,1.055,0.246
21,66,2.049,1.137,3.189,0.717,0.128,1.16,0.268
22,67,2.304,1.17,3.722,0.835,0.157,1.314,0.301
23,68,2.819,1.237,4.796,1.036,0.213,1.568,0.353
24,69,4.369,1.439,8.03,1.474,0.364,2.083,0.447
